#time,accel_x,accel_y,accel_z
601.234069,-3552.988522,-8882.471304,842.705048
601.234382,-3701.029710,-8808.450710,919.314598
601.234694,-3923.091493,-8586.388927,842.705048
601.235007,-3849.070898,-8586.388927,842.705048
601.235320,-3775.050304,-8438.347739,1149.143247
601.235632,-3404.947333,-8586.388927,1072.533697
601.235945,-3627.009116,-8956.491898,919.314598
601.236258,-3478.967927,-8734.430116,842.705048
601.236570,-3701.029710,-8808.450710,995.924147
601.236883,-3775.050304,-8882.471304,919.314598
601.237196,-3701.029710,-8364.327145,536.266849
601.237508,-3552.988522,-8512.368333,842.705048
601.237821,-3330.926739,-8808.450710,536.266849
601.238134,-3404.947333,-8660.409521,1149.143247
601.238446,-3701.029710,-8882.471304,995.924147
601.238759,-3552.988522,-8956.491898,919.314598
601.239072,-3775.050304,-8808.450710,1072.533697
601.239384,-3627.009116,-8882.471304,995.924147
601.239697,-3849.070898,-8734.430116,1302.362347
601.240010,-3404.947333,-8734.430116,1072.533697
601.240322,-3775.050304,-8660.409521,689.485948
601.240635,-3552.988522,-8956.491898,689.485948
601.240948,-3775.050304,-8956.491898,842.705048
601.241260,-3775.050304,-8808.450710,995.924147
601.241573,-3701.029710,-8882.471304,536.266849
601.241885,-3775.050304,-8660.409521,1072.533697
601.242198,-3330.926739,-8956.491898,1072.533697
601.242511,-3552.988522,-8438.347739,1149.143247
601.242823,-3404.947333,-8808.450710,1608.800546
601.243136,-3627.009116,-8882.471304,766.095498
601.243449,-3627.009116,-9104.533087,919.314598
601.243761,-3627.009116,-8956.491898,995.924147
601.244074,-3701.029710,-8882.471304,842.705048
601.244387,-3627.009116,-8586.388927,306.438199
601.244699,-3775.050304,-8734.430116,1302.362347
601.245012,-3478.967927,-8216.285956,919.314598
601.245325,-3552.988522,-8660.409521,995.924147
601.245637,-3627.009116,-8808.450710,766.095498
601.245950,-3627.009116,-8956.491898,919.314598
601.246263,-3701.029710,-8882.471304,995.924147
601.246575,-3478.967927,-8882.471304,842.705048
601.246888,-3701.029710,-8660.409521,766.095498
601.247201,-3330.926739,-9030.512492,1685.410096
601.247513,-3627.009116,-8734.430116,1225.752797
601.247826,-3552.988522,-8660.409521,1072.533697
601.248139,-3775.050304,-8734.430116,995.924147
601.248451,-3552.988522,-8734.430116,689.485948
601.248764,-3627.009116,-8808.450710,919.314598
601.249077,-3552.988522,-8808.450710,995.924147
601.249389,-3627.009116,-8586.388927,1072.533697
601.249702,-3330.926739,-8660.409521,766.095498
601.250014,-3478.967927,-8660.409521,919.314598
601.250327,-3923.091493,-8660.409521,1072.533697
601.250640,-3627.009116,-8882.471304,1225.752797
601.250952,-3478.967927,-8956.491898,919.314598
601.251265,-3701.029710,-8882.471304,1225.752797
601.251578,-3627.009116,-8808.450710,1302.362347
601.251890,-3627.009116,-8216.285956,1149.143247
