#time,accel_x,accel_y,accel_z
1265.671086,-3627.009116,-8882.471304,766.095498
1265.671399,-3256.906145,-8882.471304,1072.533697
1265.671711,-3552.988522,-8808.450710,1302.362347
1265.672024,-3701.029710,-8882.471304,1225.752797
1265.672337,-3552.988522,-9030.512492,1149.143247
1265.672650,-3849.070898,-8808.450710,995.924147
1265.672962,-3627.009116,-8660.409521,995.924147
1265.673275,-3627.009116,-8882.471304,1072.533697
1265.673588,-3701.029710,-8808.450710,919.314598
1265.673901,-3627.009116,-8512.368333,842.705048
1265.674213,-3627.009116,-8956.491898,766.095498
1265.674526,-3478.967927,-8734.430116,1149.143247
1265.674839,-3478.967927,-9030.512492,842.705048
1265.675151,-3478.967927,-8956.491898,689.485948
1265.675464,-3701.029710,-8808.450710,919.314598
1265.675777,-3627.009116,-8882.471304,766.095498
1265.676090,-3552.988522,-8808.450710,1072.533697
1265.676402,-3775.050304,-8586.388927,1072.533697
1265.676715,-3330.926739,-9030.512492,766.095498
1265.677028,-3923.091493,-8882.471304,1225.752797
1265.677341,-3701.029710,-8956.491898,842.705048
1265.677653,-3701.029710,-8808.450710,612.876398
1265.677966,-3775.050304,-8660.409521,842.705048
1265.678279,-3627.009116,-8956.491898,842.705048
1265.678591,-3775.050304,-8512.368333,689.485948
1265.678904,-3849.070898,-8660.409521,459.657299
1265.679217,-3478.967927,-8660.409521,1225.752797
1265.679530,-3552.988522,-8882.471304,1225.752797
1265.679842,-3775.050304,-8660.409521,766.095498
1265.680155,-3404.947333,-8882.471304,919.314598
1265.680468,-3775.050304,-8956.491898,842.705048
1265.680781,-3849.070898,-8882.471304,766.095498
1265.681093,-3923.091493,-8882.471304,1072.533697
1265.681406,-3627.009116,-8660.409521,536.266849
1265.681719,-3627.009116,-8808.450710,689.485948
1265.682031,-3478.967927,-8808.450710,842.705048
1265.682344,-3478.967927,-8956.491898,919.314598
1265.682657,-3627.009116,-8956.491898,919.314598
1265.682970,-3627.009116,-8734.430116,842.705048
1265.683282,-3552.988522,-8586.388927,689.485948
1265.683595,-3775.050304,-8660.409521,995.924147
1265.683908,-3404.947333,-8808.450710,842.705048
1265.684221,-3552.988522,-8808.450710,689.485948
