#time,accel_x,accel_y,accel_z
7186.629405,-3923.091493,-8734.430116,536.266849
7186.629721,-3330.926739,-9104.533087,536.266849
7186.630037,-3404.947333,-9178.553681,306.438199
7186.630354,-2664.741391,-9178.553681,383.047749
7186.630670,-3404.947333,-8586.388927,383.047749
7186.630986,-3849.070898,-8660.409521,0.000000
7186.631302,-3478.967927,-8956.491898,536.266849
7186.631619,-3552.988522,-8882.471304,76.609550
7186.631935,-3627.009116,-8882.471304,0.000000
7186.632251,-4071.132681,-8882.471304,0.000000
7186.632568,-4367.215058,-8956.491898,-229.828649
7186.632884,-3627.009116,-9178.553681,-1072.533697
7186.633200,-3849.070898,-8956.491898,459.657299
7186.633516,-3627.009116,-8956.491898,229.828649
7186.633833,-3701.029710,-9178.553681,536.266849
7186.634149,-3108.864956,-9326.594869,536.266849
7186.634465,-2960.823768,-9030.512492,842.705048
7186.634781,-3182.885551,-8438.347739,1072.533697
7186.635098,-2738.761985,-8808.450710,1072.533697
7186.635414,-3701.029710,-8142.265362,76.609550
7186.635730,-3552.988522,-9030.512492,383.047749
7186.636047,-4293.194464,-8808.450710,0.000000
7186.636363,-4219.173869,-8956.491898,0.000000
7186.636679,-4367.215058,-8808.450710,-306.438199
7186.636995,-4071.132681,-8882.471304,-383.047749
7186.637312,-4145.153275,-9104.533087,306.438199
7186.637628,-3478.967927,-8438.347739,459.657299
7186.637944,-3108.864956,-8882.471304,306.438199
7186.638261,-2812.782580,-8734.430116,842.705048
7186.638577,-2960.823768,-8808.450710,689.485948
7186.638893,-3256.906145,-9030.512492,842.705048
7186.639209,-3404.947333,-8882.471304,766.095498
7186.639526,-3478.967927,-8808.450710,229.828649
7186.639842,-3552.988522,-8586.388927,0.000000
7186.640158,-3330.926739,-8586.388927,842.705048
7186.640474,-4071.132681,-8586.388927,-459.657299
7186.640791,-4145.153275,-8734.430116,0.000000
7186.641107,-3997.112087,-8882.471304,-153.219100
7186.641423,-4219.173869,-8882.471304,0.000000
7186.641740,-3849.070898,-8808.450710,153.219100
7186.642056,-3330.926739,-9252.574275,383.047749
7186.642372,-3404.947333,-8660.409521,536.266849
7186.642688,-3182.885551,-8290.306550,612.876398
7186.643005,-3108.864956,-8364.327145,1455.581446
7186.643321,-2886.803174,-9030.512492,536.266849
7186.643637,-3404.947333,-8586.388927,612.876398
7186.643954,-3775.050304,-8956.491898,0.000000
7186.644270,-3997.112087,-8512.368333,0.000000
7186.644586,-4293.194464,-8586.388927,-229.828649
7186.644902,-4071.132681,-9104.533087,-842.705048
7186.645219,-4367.215058,-8364.327145,-153.219100
7186.645535,-3627.009116,-9326.594869,0.000000
7186.645851,-3552.988522,-8660.409521,536.266849
7186.646167,-3552.988522,-8882.471304,919.314598
7186.646484,-3034.844362,-9030.512492,919.314598
7186.646800,-3034.844362,-8660.409521,1072.533697
7186.647116,-3256.906145,-8512.368333,689.485948
7186.647433,-2812.782580,-8660.409521,536.266849
7186.647749,-3627.009116,-8512.368333,459.657299
7186.648065,-3775.050304,-8956.491898,0.000000
7186.648381,-4293.194464,-8512.368333,-153.219100
7186.648698,-4441.235652,-8734.430116,-459.657299
7186.649014,-4367.215058,-8882.471304,-536.266849
7186.649330,-3923.091493,-8956.491898,-153.219100
7186.649647,-3701.029710,-8660.409521,0.000000
7186.649963,-3182.885551,-8808.450710,306.438199
7186.650279,-2664.741391,-8956.491898,766.095498
7186.650595,-2886.803174,-8808.450710,919.314598
7186.650912,-2812.782580,-8808.450710,919.314598
7186.651228,-3182.885551,-8956.491898,919.314598
7186.651544,-3627.009116,-8808.450710,459.657299
7186.651860,-3701.029710,-8882.471304,0.000000
7186.652177,-3849.070898,-9252.574275,0.000000
7186.652493,-4367.215058,-8586.388927,-306.438199
7186.652809,-4219.173869,-8956.491898,-229.828649
7186.653126,-4293.194464,-8660.409521,0.000000
7186.653442,-3701.029710,-8808.450710,0.000000
7186.653758,-3775.050304,-8956.491898,229.828649
7186.654074,-3552.988522,-8734.430116,536.266849
7186.654391,-3256.906145,-8734.430116,612.876398
7186.654707,-3404.947333,-8734.430116,842.705048
7186.655023,-2886.803174,-8512.368333,153.219100
7186.655340,-2146.597232,-9178.553681,-229.828649
7186.655656,-2294.638420,-8734.430116,229.828649
7186.655972,-2738.761985,-8364.327145,0.000000
7186.656288,-3997.112087,-8956.491898,459.657299
7186.656605,-3997.112087,-9400.615463,76.609550
7186.656921,-3849.070898,-9918.759623,-919.314598
7186.657237,-3330.926739,-9548.656652,-612.876398
7186.657553,-3330.926739,-9918.759623,383.047749
7186.657870,-2960.823768,-9548.656652,1991.848295
7186.658186,-1480.411884,-9622.677246,1762.019645
7186.658502,0.000000,-8956.491898,1762.019645
7186.658819,-962.267725,-8512.368333,1838.629195
7186.659135,-2664.741391,-7994.224174,1991.848295
7186.659451,-4367.215058,-7920.203579,842.705048
7186.659767,-4145.153275,-8808.450710,-1225.752797
7186.660084,-4145.153275,-8660.409521,-2451.505594
