#time,accel_x,accel_y,accel_z
996.280284,-2516.700203,-8734.430116,612.876398
996.280597,-2960.823768,-9400.615463,1685.410096
996.280910,-3256.906145,-8956.491898,1532.190996
996.281223,-3182.885551,-9326.594869,1149.143247
996.281536,-3108.864956,-9030.512492,1302.362347
996.281849,-3404.947333,-9474.636058,1532.190996
996.282162,-3701.029710,-8660.409521,1072.533697
996.282475,-4515.256246,-8586.388927,536.266849
996.282787,-4441.235652,-8290.306550,689.485948
996.283100,-3923.091493,-8438.347739,-153.219100
996.283413,-3330.926739,-8216.285956,-536.266849
996.283726,-4219.173869,-8438.347739,766.095498
996.284039,-3849.070898,-8512.368333,1455.581446
996.284352,-3034.844362,-9178.553681,689.485948
996.284665,-2664.741391,-8734.430116,612.876398
996.284978,-3256.906145,-9104.533087,1608.800546
996.285291,-2960.823768,-8956.491898,1302.362347
996.285604,-3034.844362,-9400.615463,1378.971896
996.285917,-3478.967927,-9252.574275,1532.190996
996.286230,-3404.947333,-8734.430116,1302.362347
996.286543,-3849.070898,-8660.409521,995.924147
996.286856,-4589.276840,-8216.285956,612.876398
996.287169,-4515.256246,-8586.388927,229.828649
996.287482,-3775.050304,-8364.327145,-612.876398
996.287795,-4219.173869,-8586.388927,766.095498
996.288107,-4515.256246,-8068.244768,1302.362347
996.288420,-2886.803174,-8956.491898,842.705048
996.288733,-2738.761985,-9252.574275,1225.752797
996.289046,-2812.782580,-9252.574275,919.314598
996.289359,-3108.864956,-9178.553681,1608.800546
996.289672,-3330.926739,-9252.574275,1455.581446
996.289985,-3108.864956,-9030.512492,1378.971896
996.290298,-3108.864956,-9400.615463,1455.581446
996.290611,-3478.967927,-8586.388927,1225.752797
996.290924,-4293.194464,-8734.430116,1378.971896
996.291237,-4589.276840,-8512.368333,459.657299
996.291550,-4071.132681,-8512.368333,-229.828649
996.291863,-3849.070898,-8290.306550,-612.876398
996.292176,-4367.215058,-8142.265362,383.047749
996.292489,-4145.153275,-8438.347739,306.438199
996.292802,-3404.947333,-9252.574275,1149.143247
996.293115,-2738.761985,-8808.450710,995.924147
996.293428,-3256.906145,-9178.553681,842.705048
996.293740,-3404.947333,-8956.491898,1225.752797
996.294053,-2960.823768,-9474.636058,1455.581446
996.294366,-2960.823768,-8956.491898,1378.971896
996.294679,-3552.988522,-9030.512492,1608.800546
996.294992,-3775.050304,-8808.450710,612.876398
996.295305,-4441.235652,-8068.244768,766.095498
996.295618,-4367.215058,-8216.285956,459.657299
996.295931,-3701.029710,-8734.430116,-153.219100
996.296244,-3775.050304,-8438.347739,229.828649
996.296557,-4515.256246,-8512.368333,689.485948
996.296870,-3849.070898,-8438.347739,689.485948
996.297183,-3108.864956,-8882.471304,536.266849
996.297496,-2812.782580,-9030.512492,995.924147
996.297809,-2960.823768,-9252.574275,1991.848295
996.298122,-3256.906145,-9252.574275,1838.629195
996.298435,-3256.906145,-8660.409521,1838.629195
996.298748,-3404.947333,-9104.533087,1762.019645
996.299061,-3330.926739,-8808.450710,1378.971896
996.299373,-4071.132681,-8734.430116,766.095498
996.299686,-4515.256246,-8290.306550,306.438199
996.299999,-4145.153275,-8660.409521,76.609550
996.300312,-3701.029710,-7994.224174,76.609550
996.300625,-4219.173869,-8734.430116,383.047749
996.300938,-4589.276840,-8216.285956,919.314598
996.301251,-3256.906145,-9030.512492,536.266849
996.301564,-2738.761985,-8734.430116,229.828649
996.301877,-3034.844362,-9400.615463,995.924147
996.302190,-3034.844362,-9252.574275,1302.362347
996.302503,-3108.864956,-9326.594869,1762.019645
996.302816,-2960.823768,-8956.491898,1072.533697
996.303129,-3701.029710,-9104.533087,1608.800546
996.303442,-3775.050304,-8660.409521,995.924147
996.303755,-4515.256246,-8512.368333,689.485948
996.304068,-4515.256246,-8438.347739,536.266849
996.304381,-4071.132681,-8364.327145,-306.438199
996.304694,-3923.091493,-7994.224174,0.000000
996.305006,-4737.318029,-8068.244768,842.705048
996.305319,-3552.988522,-8734.430116,306.438199
996.305632,-2886.803174,-9178.553681,76.609550
996.305945,-2664.741391,-8956.491898,689.485948
996.306258,-2960.823768,-9548.656652,2068.457845
996.306571,-3256.906145,-9770.718434,2374.896044
996.306884,-3330.926739,-9474.636058,2221.676944
996.307197,-3182.885551,-9104.533087,1991.848295
996.307510,-3404.947333,-8734.430116,1608.800546
996.307823,-4293.194464,-8216.285956,842.705048
996.308136,-4663.297435,-7402.059420,306.438199
996.308449,-4219.173869,-7994.224174,0.000000
996.308762,-3701.029710,-7772.162391,-153.219100
996.309075,-4071.132681,-8364.327145,459.657299
996.309388,-4663.297435,-8660.409521,1455.581446
996.309701,-3997.112087,-9178.553681,1455.581446
996.310014,-2664.741391,-9104.533087,1532.190996
996.310327,-3256.906145,-9252.574275,1838.629195
996.310639,-4219.173869,-9104.533087,1915.238745
996.310952,-3627.009116,-9622.677246,1072.533697
996.311265,-3034.844362,-8882.471304,766.095498
996.311578,-3404.947333,-9252.574275,1302.362347
996.311891,-3404.947333,-8438.347739,1685.410096
996.312204,-3627.009116,-8290.306550,1149.143247
996.312517,-3923.091493,-8290.306550,2528.115143
996.312830,-4071.132681,-8512.368333,1302.362347
996.313143,-3034.844362,-8142.265362,229.828649
996.313456,-4219.173869,-7846.182985,1378.971896
996.313769,-4145.153275,-7846.182985,1608.800546
996.314082,-2812.782580,-8956.491898,766.095498
996.314395,-3182.885551,-9252.574275,153.219100
996.314708,-3552.988522,-9252.574275,2068.457845
996.315021,-3478.967927,-9030.512492,2374.896044
996.315334,-2738.761985,-9992.780217,2298.286494
996.315647,-2812.782580,-10288.862594,1838.629195
996.315959,-3330.926739,-9844.739029,2374.896044
996.316272,-4145.153275,-8734.430116,2451.505594
996.316585,-4515.256246,-7920.203579,2451.505594
996.316898,-4071.132681,-8438.347739,1838.629195
996.317211,-3478.967927,-8216.285956,153.219100
996.317524,-3849.070898,-7624.121203,0.000000
996.317837,-4515.256246,-7698.141797,1378.971896
996.318150,-3701.029710,-8438.347739,1685.410096
996.318463,-2368.659014,-8956.491898,1991.848295
996.318776,-2886.803174,-9104.533087,2451.505594
996.319089,-3849.070898,-9696.697840,3370.820191
996.319402,-3701.029710,-9918.759623,2987.772442
996.319715,-2664.741391,-8808.450710,2451.505594
996.320028,-3701.029710,-8734.430116,2451.505594
996.320341,-4071.132681,-8660.409521,2145.067394
996.320654,-4219.173869,-8438.347739,1762.019645
996.320967,-4071.132681,-7994.224174,1072.533697
996.321280,-4367.215058,-8216.285956,995.924147
996.321592,-3701.029710,-8068.244768,1455.581446
996.321905,-3849.070898,-8734.430116,1302.362347
996.322218,-3775.050304,-8586.388927,2451.505594
996.322531,-3552.988522,-8438.347739,2145.067394
996.322844,-2442.679609,-8956.491898,1455.581446
996.323157,-3404.947333,-9992.780217,2374.896044
996.323470,-3182.885551,-8512.368333,1762.019645
996.323783,-2442.679609,-8586.388927,1149.143247
996.324096,-3330.926739,-8142.265362,1532.190996
996.324409,-3701.029710,-8438.347739,1532.190996
996.324722,-3404.947333,-8882.471304,689.485948
996.325035,-4367.215058,-7920.203579,1532.190996
996.325348,-4441.235652,-8142.265362,1455.581446
996.325661,-4515.256246,-8660.409521,1149.143247
996.325974,-3627.009116,-9252.574275,229.828649
996.326287,-3997.112087,-8808.450710,689.485948
996.326600,-3478.967927,-8882.471304,153.219100
996.326913,-2960.823768,-8142.265362,612.876398
996.327225,-2442.679609,-8660.409521,919.314598
996.327538,-3108.864956,-9696.697840,1915.238745
996.327851,-2738.761985,-9696.697840,1762.019645
996.328164,-3108.864956,-9178.553681,1838.629195
996.328477,-3775.050304,-9252.574275,2451.505594
996.328790,-3404.947333,-8808.450710,1762.019645
996.329103,-3923.091493,-7698.141797,689.485948
996.329416,-4293.194464,-7994.224174,306.438199
996.329729,-5181.441594,-8438.347739,0.000000
996.330042,-3330.926739,-8142.265362,-1378.971896
996.330355,-4071.132681,-8290.306550,-612.876398
996.330668,-4293.194464,-8512.368333,612.876398
996.330981,-3478.967927,-9918.759623,1072.533697
996.331294,-2220.617826,-9548.656652,842.705048
996.331607,-2960.823768,-9844.739029,2681.334243
996.331920,-3330.926739,-9548.656652,1991.848295
996.332233,-3108.864956,-9474.636058,1378.971896
996.332546,-2886.803174,-9326.594869,842.705048
996.332858,-3849.070898,-9474.636058,842.705048
996.333171,-3701.029710,-8512.368333,229.828649
996.333484,-4737.318029,-8586.388927,229.828649
996.333797,-5033.400406,-8586.388927,-229.828649
996.334110,-3923.091493,-8290.306550,-229.828649
996.334423,-3627.009116,-8956.491898,383.047749
996.334736,-4515.256246,-9030.512492,1072.533697
996.335049,-3627.009116,-8956.491898,1762.019645
996.335362,-2664.741391,-8586.388927,1302.362347
996.335675,-2960.823768,-8660.409521,1149.143247
996.335988,-3256.906145,-9104.533087,2451.505594
996.336301,-3330.926739,-9326.594869,1225.752797
996.336614,-3182.885551,-8808.450710,995.924147
996.336927,-4071.132681,-8660.409521,1915.238745
996.337240,-4219.173869,-8660.409521,1838.629195
996.337553,-4367.215058,-9030.512492,1685.410096
996.337866,-4737.318029,-8364.327145,1072.533697
996.338179,-4441.235652,-8216.285956,536.266849
996.338491,-3256.906145,-8068.244768,0.000000
996.338804,-3923.091493,-8290.306550,229.828649
996.339117,-3478.967927,-8438.347739,919.314598
996.339430,-2368.659014,-8956.491898,1455.581446
996.339743,-2442.679609,-8956.491898,1532.190996
996.340056,-2368.659014,-9474.636058,2374.896044
996.340369,-2590.720797,-9178.553681,2374.896044
996.340682,-2516.700203,-9400.615463,2298.286494
996.340995,-3256.906145,-8660.409521,1762.019645
996.341308,-3478.967927,-8512.368333,2221.676944
996.341621,-2960.823768,-8068.244768,919.314598
996.341934,-4071.132681,-7476.080014,459.657299
996.342247,-4959.379811,-7994.224174,153.219100
996.342560,-4811.338623,-7920.203579,-536.266849
996.342873,-4145.153275,-7920.203579,-536.266849
996.343186,-4515.256246,-8364.327145,306.438199
996.343499,-3923.091493,-9030.512492,1225.752797
996.343811,-2960.823768,-9326.594869,766.095498
996.344124,-2516.700203,-9252.574275,1455.581446
996.344437,-2516.700203,-9326.594869,1991.848295
996.344750,-2442.679609,-9548.656652,1991.848295
996.345063,-2442.679609,-9548.656652,1685.410096
996.345376,-2516.700203,-9474.636058,1225.752797
996.345689,-3108.864956,-8660.409521,1455.581446
996.346002,-4367.215058,-8216.285956,1149.143247
996.346315,-4441.235652,-7846.182985,459.657299
996.346628,-4663.297435,-8512.368333,306.438199
996.346941,-4515.256246,-7624.121203,-842.705048
996.347254,-5033.400406,-8290.306550,-612.876398
996.347567,-5403.503377,-7920.203579,-766.095498
996.347880,-4367.215058,-8734.430116,-1072.533697
996.348193,-3034.844362,-9178.553681,-1149.143247
996.348506,-2738.761985,-9474.636058,-229.828649
996.348819,-2590.720797,-9400.615463,153.219100
996.349132,-2368.659014,-10066.800811,919.314598
996.349444,-2294.638420,-9770.718434,689.485948
996.349757,-2368.659014,-10140.821405,919.314598
996.350070,-2886.803174,-9252.574275,536.266849
996.350383,-3849.070898,-9178.553681,459.657299
996.350696,-3478.967927,-8586.388927,0.000000
996.351009,-4145.153275,-8660.409521,-1225.752797
996.351322,-3997.112087,-7772.162391,-1455.581446
996.351635,-4811.338623,-7994.224174,-766.095498
996.351948,-4737.318029,-8142.265362,-689.485948
996.352261,-3997.112087,-8882.471304,-995.924147
996.352574,-3701.029710,-8956.491898,-919.314598
996.352887,-3701.029710,-9474.636058,383.047749
996.353200,-3256.906145,-9400.615463,383.047749
996.353513,-3034.844362,-9252.574275,306.438199
996.353826,-2590.720797,-9326.594869,612.876398
996.354139,-3701.029710,-9770.718434,459.657299
996.354452,-3627.009116,-9252.574275,0.000000
996.354765,-3849.070898,-8734.430116,306.438199
996.355077,-4219.173869,-8808.450710,459.657299
996.355390,-3552.988522,-8512.368333,536.266849
996.355703,-3923.091493,-8734.430116,153.219100
996.356016,-4145.153275,-8216.285956,0.000000
996.356329,-3256.906145,-8660.409521,76.609550
996.356642,-3330.926739,-8734.430116,0.000000
996.356955,-3034.844362,-8586.388927,0.000000
996.357268,-2886.803174,-9178.553681,1149.143247
996.357581,-3701.029710,-9326.594869,995.924147
996.357894,-3182.885551,-8734.430116,689.485948
996.358207,-3108.864956,-9400.615463,1685.410096
996.358520,-4367.215058,-8956.491898,1378.971896
996.358833,-4145.153275,-8512.368333,536.266849
996.359146,-4145.153275,-8438.347739,689.485948
996.359459,-4663.297435,-8956.491898,612.876398
996.359772,-3775.050304,-8216.285956,0.000000
996.360085,-4071.132681,-8216.285956,612.876398
996.360398,-4145.153275,-8216.285956,995.924147
996.360710,-2738.761985,-9252.574275,536.266849
996.361023,-2738.761985,-9326.594869,536.266849
996.361336,-3034.844362,-8734.430116,2068.457845
996.361649,-2960.823768,-8438.347739,2145.067394
996.361962,-2590.720797,-9474.636058,1838.629195
996.362275,-2368.659014,-8956.491898,1455.581446
996.362588,-3701.029710,-8290.306550,1455.581446
996.362901,-3478.967927,-7846.182985,1532.190996
996.363214,-4071.132681,-7624.121203,536.266849
996.363527,-4367.215058,-8364.327145,383.047749
996.363840,-4737.318029,-8290.306550,0.000000
996.364153,-4219.173869,-8216.285956,153.219100
996.364466,-4737.318029,-8068.244768,1302.362347
996.364779,-4219.173869,-8216.285956,1225.752797
996.365092,-2516.700203,-8512.368333,229.828649
